id,officer_id,created_at,updated_at,allegation_id
38915,3986,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38916,9590,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38917,25260,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38918,2563,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38919,5502,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38920,6589,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38921,6589,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38922,7390,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081416
38923,21620,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081504
38924,21620,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081504
38925,18764,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081504
38926,18764,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081504
38927,26366,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078061
38928,11672,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078126
38929,7242,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078126
38930,30311,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081796
38931,21597,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081796
38932,26402,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081796
38933,3238,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081804
38934,28070,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081802
38935,3235,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081808
38936,32231,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38937,32058,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38938,32295,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38939,31860,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38940,32409,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38941,31937,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38942,32182,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38943,31848,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38944,31831,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38945,32311,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38946,32105,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38947,31795,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38948,32412,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38949,32069,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38950,32147,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38951,32061,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38952,19284,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38953,32073,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38954,31977,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38955,9798,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38956,5367,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38957,31994,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38958,31869,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081815
38959,30061,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081811
38960,16967,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079798
38961,16967,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079798
38962,8836,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079798
38963,8836,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079798
38964,32166,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080331
38965,10544,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081505
38966,16061,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081501
38967,6666,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081526
38968,6666,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1081526
38969,4679,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078179
38970,5830,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078178
38971,25045,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078178
38972,6111,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078496
38973,23162,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078496
38974,6952,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078496
38975,10574,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078514
38976,1237,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078604
38977,1237,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078604
