id,star,current,officer_id,created_at,updated_at
522,11633,false,398,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
523,3168,false,398,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
524,6348,true,398,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
527,7684,false,400,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
528,7331,false,400,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
529,17199,false,402,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
530,16527,false,402,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
547,18686,true,419,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
548,16311,false,419,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
549,5356,false,420,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
550,5933,false,420,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
561,20060,true,429,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
562,21078,false,429,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
563,19531,false,429,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
564,18938,false,429,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
565,9206,false,429,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
571,12822,false,432,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
572,20082,true,432,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
576,7461,false,438,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
577,21623,true,438,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
579,2131,true,440,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
580,12957,false,440,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
588,2722,false,448,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
589,1060,true,448,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
617,15555,false,473,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
618,17041,false,473,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
622,14844,false,476,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
623,1722,true,476,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
624,18661,false,477,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
625,21309,true,477,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
626,1968,true,478,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
629,6600,false,478,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
636,2348,true,486,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
637,16943,false,486,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
639,31041,false,486,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
640,19163,false,486,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
642,1310,true,488,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
644,13797,false,488,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
645,1971,true,489,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
646,31042,false,489,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
657,17801,false,498,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
658,7933,true,498,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
660,2043,true,500,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
661,40209,false,500,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
677,905,false,516,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
678,7158,false,516,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
679,448,true,516,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
681,20340,true,518,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
682,11104,false,518,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
692,9019,false,524,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
693,12999,false,524,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
695,4138,false,526,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
696,21070,false,526,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
700,19074,false,531,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
701,3075,true,531,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
708,2499,false,537,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
709,4657,true,537,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
719,17567,false,545,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
720,19141,false,545,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
721,16513,false,545,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
732,2520,false,556,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
733,1121,false,556,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
743,7268,false,567,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
744,20042,true,567,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
745,9600,false,568,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
746,501,true,568,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
748,214,true,569,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
749,21175,false,569,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
750,5668,false,569,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
751,1548,false,569,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
