,model,importances,parameters,set,type,outcome,train_start,train_end,test_start,test_end,precision_at_100,precision_at_5,precision_at_20,precision_at_50,precision_at_80,recall_at_100,recall_at_5,recall_at_20,recall_at_50,recall_at_80,f1_at_5,accuracy_at_50
41,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
42,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5412844036697247,0.2847380410022779,0.1649954421148587,0.11788154897494305,1.0,0.2783018867924528,0.589622641509434,0.8537735849056604,0.9764150943396226,0.367601246105919,0.5685649202733485
43,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.06422018348623854,0.015945330296127564,0.007292616226071103,0.004555808656036446,1.0,0.875,0.875,1.0,1.0,0.11965811965811966,0.503872437357631
44,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.38144329896907214,0.2467866323907455,0.14285714285714285,0.10404624277456648,1.0,0.2215568862275449,0.5748502994011976,0.8323353293413174,0.9700598802395209,0.28030303030303033,0.5572675911658963
45,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
46,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.5876288659793815,0.2596401028277635,0.144912641315519,0.10404624277456648,1.0,0.3413173652694611,0.6047904191616766,0.844311377245509,0.9700598802395209,0.4318181818181818,0.559322033898305
47,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 20, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
48,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.44954128440366975,0.27107061503416857,0.16317228805834094,0.11788154897494305,1.0,0.23113207547169812,0.5613207547169812,0.8443396226415094,0.9764150943396226,0.3052959501557633,0.566742596810934
49,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,regular,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
50,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,augmented,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.5045871559633027,0.28929384965831434,0.1640838650865998,0.11788154897494305,1.0,0.25943396226415094,0.5990566037735849,0.8490566037735849,0.9764150943396226,0.3426791277258567,0.5676537585421413
51,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",0,augmented,firearm_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.0036446469248291574,0.05504587155963303,0.018223234624145785,0.007292616226071103,0.004555808656036446,1.0,0.75,1.0,1.0,1.0,0.10256410256410257,0.503872437357631
52,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,regular,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.4020618556701031,0.2467866323907455,0.14182939362795477,0.10468850353243417,1.0,0.23353293413173654,0.5748502994011976,0.8263473053892215,0.9760479041916168,0.2954545454545454,0.5562403697996918
53,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,regular,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
54,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,augmented,sustained_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.08577298407806883,0.6082474226804123,0.26735218508997427,0.14902363823227133,0.10468850353243417,1.0,0.3532934131736527,0.6227544910179641,0.8682634730538922,0.9760479041916168,0.446969696969697,0.5634309193631227
55,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 50, 'n_jobs': -1, 'random_state': 84}",1,augmented,firearm_outcome,2010-01-01 00:00:00,2011-12-31 11:38:24,2014-01-01 23:16:48,2016-01-02 10:55:12,0.001027221366204417,0.010309278350515464,0.005141388174807198,0.0020554984583761563,0.0012845215157353885,1.0,0.5,1.0,1.0,1.0,0.020202020202020204,0.5012840267077555
56,RandomForest,[],"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 100, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 84}",0,regular,sustained_outcome,2010-01-01 00:00:00,2010-12-31 05:49:12,2013-01-01 17:27:36,2015-01-02 05:06:00,0.09658314350797266,0.44036697247706424,0.27107061503416857,0.16226071103008205,0.11788154897494305,1.0,0.22641509433962265,0.5613207547169812,0.839622641509434,0.9764150943396226,0.2990654205607477,0.5658314350797267
