id,race,count,area_id,created_at,updated_at
161,Asian,4450,459,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
162,Black,5382,459,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
163,Hispanic,1393,459,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
164,White,10404,459,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
165,Other,772,459,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
166,Asian,10347,460,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
167,Black,1348,460,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
168,Hispanic,426,460,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
169,White,1521,460,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
170,Other,365,460,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
171,Asian,2917,426,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
172,Black,14365,426,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
173,Hispanic,485,426,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
174,White,2165,426,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
175,Other,391,426,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
176,Asian,109,427,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
177,Black,5946,427,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
178,Hispanic,209,427,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
179,White,142,427,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
180,Other,16,427,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
181,Asian,0,428,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
182,Black,2268,428,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
183,Hispanic,152,428,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
184,White,37,428,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
185,Other,0,428,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
186,Asian,117,429,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
187,Black,20624,429,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
188,Hispanic,574,429,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
189,White,719,429,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
190,Other,716,429,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
191,Asian,1520,430,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
192,Black,11916,430,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
193,Hispanic,667,430,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
194,White,2978,430,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
195,Other,520,430,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
196,Asian,9,432,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
197,Black,11595,432,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
198,Hispanic,158,432,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
199,White,48,432,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
200,Other,271,432,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
201,Asian,3244,433,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
202,Black,8047,433,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
203,Hispanic,1891,433,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
204,White,12584,433,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
205,Other,1127,433,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
206,Asian,814,434,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
207,Black,22555,434,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
208,Hispanic,695,434,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
209,White,1885,434,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
210,Other,497,434,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
211,Asian,115,464,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
212,Black,45990,464,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
213,Hispanic,784,464,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
214,White,1084,464,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
215,Other,1182,464,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
216,Asian,129,465,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
217,Black,30297,465,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
218,Hispanic,287,465,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
